query_id,query,type,has_adversarial,expected,top1_file,top1_cosine,query_ms,top1_hit,recall_at_1,recall_at_3,recall_at_10,reciprocal_rank,adv_precision_pass,adv_rank_gap,adv_gap_by_type
Q21,How does the KRaft controller handle a topic-creation request and persist it to the metadata log?,CROSS_CUTTING,true,metadata/src/main/java/org/apache/kafka/controller/QuorumController.java,core/src/main/scala/kafka/server/AutoTopicCreationManager.scala,0.6914,14,false,0.0000,1.0000,1.0000,0.5000,true,no_adv_retrieved,
Q22,How does the broker delay a Produce request until enough replicas have acknowledged?,DIRECT_CONCEPT,true,core/src/main/scala/kafka/server/DelayedProduce.scala,core/src/main/scala/kafka/cluster/Replica.scala,0.7010,12,false,0.0000,0.0000,0.0000,0.0000,false,expected_missing,
Q23,How does the broker recover its log state from disk on startup?,DIRECT_CONCEPT,true,storage/src/main/java/org/apache/kafka/storage/internals/log/LogLoader.java,metadata/src/main/java/org/apache/kafka/image/publisher/BrokerRegistrationTracker.java,0.6297,11,false,0.0000,0.0000,1.0000,0.1111,false,-7,PARENT=-4|SIBLING=-7
Q24,How does the broker apply a record batch to update its in-memory metadata image?,BEHAVIOURAL,true,metadata/src/main/java/org/apache/kafka/image/MetadataDelta.java,metadata/src/main/java/org/apache/kafka/image/loader/MetadataBatchLoader.java,0.6601,11,false,0.0000,0.0000,0.0000,0.0000,false,expected_missing,
Q25,How does the broker manage the pool of fetcher threads pulling from leader replicas?,DIRECT_CONCEPT,true,core/src/main/scala/kafka/server/ReplicaFetcherManager.scala,core/src/main/scala/kafka/server/ReplicaManager.scala,0.6837,12,false,0.0000,0.0000,0.0000,0.0000,false,expected_missing,
Q26,How does the broker negotiate API versions with a connecting client?,BEHAVIOURAL,true,core/src/main/scala/kafka/server/ApiVersionManager.scala,core/src/main/scala/kafka/server/ForwardingManager.scala,0.6764,12,false,0.0000,0.0000,0.0000,0.0000,false,expected_missing,
Q27,How are metadata-image updates broadcast to interested broker components?,CROSS_CUTTING,true,core/src/main/scala/kafka/server/metadata/BrokerMetadataPublisher.scala,core/src/main/scala/kafka/server/BrokerServer.scala,0.6464,12,false,0.0000,0.0000,1.0000,0.1429,true,no_adv_retrieved,
Q28,How does a Kafka broker gracefully shut down all its components?,ANTI_PATTERN,false,core/src/main/scala/kafka/server/BrokerServer.scala|core/src/main/scala/kafka/server/ReplicaManager.scala|core/src/main/scala/kafka/log/LogManager.scala|core/src/main/scala/kafka/coordinator/group/GroupCoordinator.scala|core/src/main/scala/kafka/network/SocketServer.scala,metadata/src/main/java/org/apache/kafka/controller/ReplicationControlManager.java,0.7277,11,false,0.0000,1.0000,1.0000,0.3333,,,
Q29,What happens inside a partition object when the controller assigns it a new leader?,BEHAVIOURAL,true,core/src/main/scala/kafka/cluster/Partition.scala,metadata/src/main/java/org/apache/kafka/controller/ReplicationControlManager.java,0.6641,12,false,0.0000,0.0000,0.0000,0.0000,false,expected_missing,
Q30,What information does the broker store to identify a single log offset within a segment?,DIRECT_CONCEPT,true,storage/src/main/java/org/apache/kafka/storage/internals/log/LogOffsetMetadata.java,storage/src/main/java/org/apache/kafka/storage/internals/log/LocalLog.java,0.6790,12,false,0.0000,0.0000,0.0000,0.0000,false,expected_missing,
